FID,AREA,PERIMETER,全省_,全省_ID,CNTY_CODE,NAME,PYNAME,UNICODE200,CITY_PYNAM,CITY_NAME,PROV_PYNAM,PROV_NAME,SO2,NOX,CO,NH3,VOC,PM10,PM2_5,a50,a60,a70,a80,a90,a100,CITY_NAME_1,a10,a20,a30
10,651310478.164150000000000,133904.618930000000000,125.000000000000000,125.000000000000000,510603.000000000000000,德阳市旌阳区,DeyangShi Jingyang Qu,ASICHN051006003,Deyang City,德阳市,Sichuan,四川,12751.000000000000000,9496.000000000000000,17692.000000000000000,13603.000000000000000,5531.000000000000000,21605.000000000000000,20713.000000000000000,0,0,0,0,0,0,,0,0,0
11,1181423080.622370000000000,243157.070669999990000,138.000000000000000,138.000000000000000,511304.000000000000000,南充市嘉陵区,NanchongShi Jialing Qu,ASICHN051013004,Nanchong City,南充市,Sichuan,四川,3992.000000000000000,3189.000000000000000,9460.000000000000000,4825.000000000000000,7992.000000000000000,8104.000000000000000,7508.000000000000000,0,0,0,0,0,0,,0,0,0
12,1466192097.269380100000000,304619.916220000010000,141.000000000000000,141.000000000000000,511621.000000000000000,岳池县,Yuechi Xian,ASICHN051016021,Guang'an City,广安市,Sichuan,四川,4596.000000000000000,3963.000000000000000,13160.000000000000000,7552.000000000000000,11685.000000000000000,13609.000000000000000,12889.000000000000000,0,0,0,0,0,0,,0,0,0
13,207461472.135650010000000,88260.855039999995000,143.000000000000000,143.000000000000000,511702.000000000000000,达州市通川区,DazhouShi Tongchuan Qu,ASICHN051017002,Dazhou City,达州市,Sichuan,四川,4425.000000000000000,3974.000000000000000,6743.000000000000000,6787.000000000000000,2754.000000000000000,12579.000000000000000,12293.000000000000000,0,0,0,0,0,0,,0,0,0
14,1055016102.060540000000000,212323.181799999990000,161.000000000000000,161.000000000000000,511802.000000000000000,雅安市雨城区,Ya'anShi Yucheng Qu,ASICHN051018002,Ya’an City,雅安市,Sichuan,四川,3057.000000000000000,3908.000000000000000,4659.000000000000000,9647.000000000000000,2663.000000000000000,17709.000000000000000,17628.000000000000000,0,0,0,0,0,0,,0,0,0
15,1330001892.316989900000000,228288.837300000010000,169.000000000000000,169.000000000000000,511402.000000000000000,眉山市东坡区,MeishanShi Dongpo Qu,ASICHN051014002,Meishan City,眉山市,Sichuan,四川,8036.000000000000000,7123.000000000000000,13898.000000000000000,13662.000000000000000,9550.000000000000000,23915.000000000000000,23236.000000000000000,0,0,0,0,0,0,,0,0,0
16,851666132.490579960000000,183286.061840000010000,173.000000000000000,173.000000000000000,511102.000000000000000,乐山市市中区,LeshanShi Shi zhong Qu,ASICHN051011002,Leshan City,乐山市,Sichuan,四川,9589.000000000000000,7353.000000000000000,13962.000000000000000,12032.000000000000000,6400.000000000000000,20040.000000000000000,19380.000000000000000,0,0,0,0,0,0,,0,0,0
17,1637435566.257829900000000,309890.689610000000000,179.000000000000000,179.000000000000000,512002.000000000000000,资阳市雁江区,ZiyangShi Yanjiang Qu,ASICHN051020002,Ziyang City,资阳市,Sichuan,四川,14617.000000000000000,10683.000000000000000,23693.000000000000000,17906.000000000000000,10274.000000000000000,30220.000000000000000,29233.000000000000000,0,0,0,0,0,0,,0,0,0
18,86707808.900780007000000,59270.219010000001000,182.000000000000000,182.000000000000000,510303.000000000000000,自贡市贡井区,ZigongShi Gongjing Qu,ASICHN051003003,Zigong City,自贡市,Sichuan,四川,2825.000000000000000,2126.000000000000000,4885.000000000000000,3569.000000000000000,2839.000000000000000,6075.000000000000000,5846.000000000000000,0,0,0,0,0,0,,0,0,0
19,1250786839.554960000000000,255822.506570000000000,186.000000000000000,186.000000000000000,510904.000000000000000,遂宁市安居区,SuiningShi Anju Qu,ASICHN051009004,Suining City,遂宁市,Sichuan,四川,4924.000000000000000,4281.000000000000000,11369.000000000000000,8721.000000000000000,9132.000000000000000,15678.000000000000000,15155.000000000000000,0,0,0,0,0,0,,0,0,0
20,382760952.865390000000000,137132.069229999990000,187.000000000000000,187.000000000000000,511002.000000000000000,内江市市中区,NeijiangShi Shizhong Qu,ASICHN051010002,Neijiang City,内江市,Sichuan,四川,3976.000000000000000,3042.000000000000000,7124.000000000000000,4483.000000000000000,3687.000000000000000,7456.000000000000000,7089.000000000000000,0,0,0,0,0,0,,0,0,0
